ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
18963,ISHU,3624,101,Lecture,"3","Julia May","Tu 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Visual Culture and Aesthetics: The Practice of Seeing","",Open,14,25,0
18992,ISIN,4510,101,Lecture,"3","Richard Floyd","We 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Special Topics in Conduct of Inquiry: Social Sciences","Intro to European Studies",Open,19,25,0
18993,ISIN,4520,101,Lecture,"3","Luke Wright","We 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Special Topics in Conduct of Inquiry: Humanities","Renaissance to Radical Islam",Open,14,25,0
18996,ISLS,3010,101,Lecture,"3","Ann Marie Plunkett","Mo 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Nationalism and National Identity","",Closed,13,0,0
18997,ISLS,3020,101,Lecture,"3","Deborah Bishop","Mo 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Critical Thinking: Why Do We Believe the Things We Do?","",Closed,15,0,0
18998,ISLS,3100,101,Lecture,"3","Evelyn Edson","We 7:00PM - 9:45PM","Zehmer Hall Conference Center","Age of Discovery: Europe and the Wider World, 1500-1700","",Open,6,15,0
19073,ISSS,3170,101,Lecture,"3","Cynthia Levy","Th 7:00PM - 9:45PM","Web-Based Course-No class mtgs","The Bill of Rights in the 21st Century","",Open,19,25,0
19069,ISSS,3401,101,Lecture,"3","Angela Orebaugh","Tu 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Smart Cities Enabling Sustainability","",Open,17,25,0
19086,ISSS,3810,101,Lecture,"3","Robert Guttman","We 7:00PM - 9:45PM","Web-Based Course-No class mtgs","The American Presidency","",Open,18,25,0
19076,ISSS,3887,101,Lecture,"3","Gail Hunger","Th 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Educational Technology in the Information Age","",Open,10,12,0
19756,ISSS,4060,101,Lecture,"3","Peter Ronayne","Mo 12:03AM - 12:04AM","Web-Based Course-No class mtgs","War and World Politics","",Open,23,25,0
19075,ISSS,4131,101,Lecture,"3","Fan Gao","Tu 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Mental Health Disorders of Modern Society","",Closed,26,25,0
19078,ISSS,4610,101,Lecture,"3","Andrew Wilson","Tu 7:00PM - 9:45PM","Zehmer Hall Conference Center","Economics of Climate Change","",Open,7,25,0
19077,ISSS,4670,101,Lecture,"3","Mary Repass","Th 7:00PM - 9:45PM","Web-Based Course-No class mtgs","Organizational Change and Development","",Closed,12,12,0
19771,ISSS,4820,301,Lecture,"3","Robert Guttman","Tu 7:00PM - 9:45PM","NVCC Alexandria Campus","American Political Thought and Institutions","",Open,8,25,0
19107,IT,3220,701,Lecture,"3","Lisa Wentzel","Mo 1:08AM - 1:09AM","Web-Based Course-No class mtgs","Strategic Business Value of Information Technology","",Open,12,24,0
19109,IT,3240,701,Lecture,"3","Donald Chisholm","Mo 1:10AM - 1:11AM","Web-Based Course-No class mtgs","Enterprise Systems Architecture and Design","",Open,9,24,0
19110,IT,4400,701,Lecture,"3","Michael Vito","Mo 1:12AM - 1:13AM","Web-Based Course-No class mtgs","Web Application Development - Building Dynamic Websites","",Open,4,24,0
19108,IT,5220,701,Lecture,"3","Lisa Wentzel","Mo 1:08AM - 1:09AM","Web-Based Course-No class mtgs","Strategic Business Value of Information Technology","",Open,0,24,0
10586,ITAL,1020,001,Lecture,"4","Stella Mattioli","MoWeFr 12:00PM - 12:50PM","New Cabell Hall 168","Elementary Italian II","",Open,17,18,0
18723,ITAL,1020,002,Lecture,"4","Hiromi Kaneda","MoWeFr 10:00AM - 10:50AM","New Cabell Hall 485","Elementary Italian II","",Closed,18,18,0
10587,ITAL,1020,003,Lecture,"4","Stella Mattioli","MoWeFr 2:00PM - 2:50PM","Kerchof Hall 317","Elementary Italian II","",Open,12,18,0
10588,ITAL,1020,004,Lecture,"4","Hiromi Kaneda","MoWeFr 11:00AM - 11:50AM","New Cabell Hall 132","Elementary Italian II","",Closed,19,18,0
10589,ITAL,1020,005,Lecture,"4","Sarah Annunziato","MoWeFr 9:00AM - 9:50AM","New Cabell Hall 191","Elementary Italian II","",Open,5,18,0
13674,ITAL,1020,006,Lecture,"4","Hiromi Kaneda","MoWeFr 1:00PM - 1:50PM","New Cabell Hall 191","Elementary Italian II","",Closed,19,18,0
12480,ITAL,2020,001,Lecture,"3","Stella Mattioli","MoWeFr 11:00AM - 11:50AM","New Cabell Hall 032","Intermediate Italian II","",Open,17,18,0
10590,ITAL,2020,002,Lecture,"3","Sarah Annunziato","MoWeFr 10:00AM - 10:50AM","New Cabell Hall 027","Intermediate Italian II","",Open,15,18,0
10591,ITAL,2020,003,Lecture,"3","Francesca Calamita","MoWeFr 2:00PM - 2:50PM","New Cabell Hall 287","Intermediate Italian II","",Open,9,18,0
10592,ITAL,2020,004,Lecture,"3","Francesca Calamita","MoWeFr 12:00PM - 12:50PM","New Cabell Hall 183","Intermediate Italian II","",Open,16,18,0
14387,ITAL,2030,001,Lecture,"3","Francesca Calamita","MoWeFr 1:00PM - 1:50PM","New Cabell Hall 383","Intermediate Italian II for Professionals","",Open,14,18,0
10593,ITAL,3020,001,Lecture,"3","Enrico Cesaretti","MoWeFr 12:00PM - 12:50PM","Wilson Hall 238","Advanced Italian II","",Open,8,20,0
13675,ITAL,3720,001,Lecture,"3","Enrico Cesaretti","MoWeFr 11:00AM - 11:50AM","Wilson Hall 238","Novella (Italian Short Narrative)","",Open,12,16,0
21161,ITAL,4993,001,Independent Study,"1 - 3","Francesca Calamita","TBA","TBA","Independent Study","",Closed,1,1,0
14085,ITTR,2260,001,Lecture,"3","Deborah Parker","MoWe 3:30PM - 4:45PM","New Cabell Hall 485","Dante in Translation","",Open,8,15,0
18726,ITTR,3559,001,Lecture,"3","Sarah Annunziato","MoWeFr 12:00PM - 12:50PM","New Cabell Hall 485","New  Course:  Italian in Translation","Italian-American Cinema",Open,21,30,0
18727,ITTR,3559,002,Lecture,"3","Deborah Parker","MoWe 2:00PM - 3:15PM","New Cabell Hall 485","New  Course:  Italian in Translation","Michelangelo",Closed,9,7,0
10594,JAPN,1020,001,Lecture,"4","Tomomi Sato","MoTuWeThFr 10:00AM - 10:50AM","New Cabell Hall 056","First-Year Japanese","",Open,6,16,0
10595,JAPN,1020,002,Lecture,"4","Tomoko Marshall","MoTuWeThFr 11:00AM - 11:50AM","New Cabell Hall 107","First-Year Japanese","",Closed,16,16,0
12819,JAPN,1020,003,Lecture,"4","Tomoko Marshall","MoTuWeThFr 10:00AM - 10:50AM","New Cabell Hall 107","First-Year Japanese","",Open,8,16,0
10596,JAPN,1020,004,Lecture,"4","Tomoko Marshall","MoTuWeThFr 12:00PM - 12:50PM","New Cabell Hall 107","First-Year Japanese","",Closed,16,16,0
10597,JAPN,2020,001,Lecture,"4","Mieko Kawai","MoTuWeThFr 10:00AM - 10:50AM","Nau Hall 142","Second-Year Japanese","",Open,14,16,0
10598,JAPN,2020,002,Lecture,"4","Mieko Kawai","MoTuWeThFr 11:00AM - 11:50AM","Nau Hall 241","Second-Year Japanese","",Closed,16,16,0
12489,JAPN,2020,003,Lecture,"4","Mieko Kawai","MoTuWeThFr 1:00PM - 1:50PM","Shea House 211","Second-Year Japanese","",Open,13,15,0
10599,JAPN,3020,001,Lecture,"3","Tomomi Sato","MoWeFr 11:00AM - 11:50AM","New Cabell Hall 042","Third-Year Japanese II","",Open,13,15,0
18790,JAPN,3020,002,Lecture,"3","Tomomi Sato","MoWeFr 12:00PM - 12:50PM","New Cabell Hall 042","Third-Year Japanese II","",Open,9,15,0
10600,JAPN,3025,001,Lecture,"1","Tomomi Sato","TBA","TBA","Language House Conversation","",Open,6,20,0
12820,JAPN,4710,001,Lecture,"3","Gustav Heldt","We 2:00PM - 4:30PM","Gibson Hall 142","Introduction to Literary Japanese (Bungo)","",Open,10,20,0
13965,JAPN,4830,001,Lecture,"3","Tomoko Marshall","MoWeFr 1:00PM - 1:50PM","New Cabell Hall 036","Media Japanese","",Open,6,15,0
11924,JPTR,3020,001,Lecture,"3","Miyabi Goto","TuTh 2:00PM - 3:15PM","Gibson Hall 242","Survey of Modern Japanese Literature","",Open,18,20,0
